,CaseID,Event,Date,timestamp,type,sensor
0,1,1,01.10.21,1633069800.0,FloorSensor,T10_Bed
1,1,2,01.10.21,1633069801.5,FloorSensor,T11_Bed
2,1,3,01.10.21,1633069803.914213,FloorSensor,T9_Bathroom
3,1,4,01.10.21,1633069805.12132,PresenceSensor,Door2_Bathroom
4,1,6,01.10.21,1633070004.192388,ProximitySensor,Window5_BedroomT8_Window
5,1,26,01.10.21,1633070193.849242,PresenceSensor,Door1_Bedroom
6,1,27,01.10.21,1633070200.506096,FloorSensor,T4_Kitchen
7,1,28,01.10.21,1633070201.713203,FloorSensor,T3_Kitchen
8,1,29,01.10.21,1633070203.713203,FloorSensor,T2_Kitchen
9,1,50,01.10.21,1633070325.54163,ProximitySensor,Stove_Stove
10,1,51,01.10.21,1633070326.54163,FloorSensor,T1_Stove
11,1,52,01.10.21,1633070344.16295,ProximitySensor,Stove_Stove
12,1,53,01.10.21,1633070345.370057,FloorSensor,T2_Kitchen
13,1,61,01.10.21,1633070384.370057,ProximitySensor,Stove_Stove
14,1,66,01.10.21,1633070433.370057,FloorSensor,T2_Kitchen
15,1,86,01.10.21,1633070566.991378,FloorSensor,T3_Kitchen
16,1,87,01.10.21,1633070569.198484,FloorSensor,T2_Kitchen
17,1,90,01.10.21,1633070618.198484,FloorSensor,T3_Kitchen
18,1,91,01.10.21,1633070619.198484,FloorSensor,T4_Kitchen
19,1,92,01.10.21,1633070646.234018,ProximitySensor,Stove_Stove
20,1,115,01.10.21,1633070876.683766,FloorSensor,T3_Kitchen
21,1,134,01.10.21,1633070969.305086,FloorSensor,T2_Kitchen
22,1,146,01.10.21,1633071028.133513,FloorSensor,T5_Table
23,1,147,01.10.21,1633071050.96194,PresenceSensor,Chair1_Table
24,1,254,01.10.21,1633072120.169047,FloorSensor,T4_Kitchen
25,1,255,01.10.21,1633072121.169047,FloorSensor,T3_Kitchen
26,1,258,01.10.21,1633072135.790367,ProximitySensor,Stove_Stove
27,1,259,01.10.21,1633072135.790367,FloorSensor,T1_Stove
28,1,260,01.10.21,1633072161.997474,ProximitySensor,Stove_Stove
29,1,261,01.10.21,1633072161.997474,FloorSensor,T1_Stove
30,1,262,01.10.21,1633072163.997474,FloorSensor,T2_Kitchen
31,1,265,01.10.21,1633072178.997474,ProximitySensor,Stove_Stove
32,1,267,01.10.21,1633072459.411688,FloorSensor,T3_Kitchen
33,1,268,01.10.21,1633072460.411688,FloorSensor,T4_Kitchen
34,1,269,01.10.21,1633072461.411688,PresenceSensor,Chair1_Table
35,1,270,01.10.21,1633072508.033008,FloorSensor,T3_Kitchen
36,1,271,01.10.21,1633072792.861435,FloorSensor,T4_Kitchen
37,1,272,01.10.21,1633072794.068542,PresenceSensor,Chair1_Table
38,1,274,01.10.21,1633072828.518289,FloorSensor,T3_Kitchen
39,1,275,01.10.21,1633072842.725396,FloorSensor,T2_Kitchen
40,1,278,01.10.21,1633072893.346717,FloorSensor,T3_Kitchen
41,1,279,01.10.21,1633072909.175144,FloorSensor,T5_Table
42,1,280,01.10.21,1633072912.796464,PresenceSensor,Door1_Bedroom
43,1,281,01.10.21,1633072916.417784,FloorSensor,T10_Bed
44,1,333,01.10.21,1633073180.488852,PresenceSensor,Door2_Bathroom
45,1,335,01.10.21,1633073647.9386,FloorSensor,T7_Closet
